filename,duration
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Kings(1)_22-1.wav,5.02
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Luke_9-15.wav,2.82
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Hebrews_1-5.wav,9.87
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Leviticus_18-5.wav,8.15
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Genesis_3-10.wav,7.71
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Kings(2)_15-37.wav,6.58
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Psalm_86-9.wav,6.19
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Joshua_12-1.wav,13.58
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Genesis_10-15.wav,5.02
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Revelation_18-23.wav,12.96
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Psalm_67-6.wav,4.94
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Galatians_4-8.wav,6.71
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Lamentations_3-37.wav,4.94
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Isaiah_60-19.wav,12.49
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Ezekiel_3-25.wav,7.92
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Mark_13-5.wav,5.12
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Kings(2)_6-24.wav,8.1
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Samuel(2)_20-14.wav,8.7
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Corinthians(2)_9-5.wav,13.69
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Psalm_71-5.wav,4.23
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Revelation_21-3.wav,11.0
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Isaiah_32-2.wav,12.17
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Jeremiah_25-14.wav,10.45
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Numbers_1-41.wav,5.38
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Amos_3-8.wav,6.84
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Ezekiel_39-4.wav,12.88
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Esther_2-8.wav,14.76
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Chronicles(2)_6-40.wav,8.54
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Mark_6-12.wav,2.87
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Exodus_18-18.wav,10.11
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Exodus_39-8.wav,9.09
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Exodus_37-10.wav,8.1
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Ezekiel_40-45.wav,8.36
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Kings(2)_3-14.wav,12.49
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Acts_14-21.wav,6.58
/app/chris/flowtron/tacotron2/waveglow/data/bible_data/train/Zephaniah_3-19.wav,12.2
